GM10847	GM12878	GM12891	GM12892	GM15510	GM18505	GM18951	GM19099	A549	HUVEC	IMR90	SGBS	Beas	AC16
11	6	8	0	0	0	10	4	0	5	10	17	10	0
3	28	8	0	0	5	0	16	18	30	14	44	6	0
0	12	9	0	5	0	0	4	19	0	21	100	0	0
0	19	5	0	0	0	0	9	0	3	12	35	15	0
5	4	0	0	4	0	0	0	33	5	13	20	39	0
3	18	10	4	0	0	0	0	0	16	0	39	5	0
5	0	0	0	0	0	4	0	15	0	16	54	22	0
0	4	0	4	0	0	3	3	9	0	5	35	0	0
0	16	15	0	0	0	0	0	0	16	29	63	5	6
4	17	5	0	0	0	0	6	27	15	12	22	0	4
0	10	6	5	0	0	6	0	0	11	5	30	15	0
0	5	4	4	5	0	0	0	0	24	6	21	11	0
0	32	0	0	0	0	0	4	0	0	6	61	7	0
0	5	12	3	0	0	0	5	35	37	13	33	0	0
0	9	19	3	7	0	12	19	28	4	12	66	0	0
5	0	0	5	0	0	0	0	28	5	29	45	5	0
0	9	14	7	4	4	0	17	31	63	0	44	0	0
0	9	5	6	0	0	11	9	0	10	5	34	7	0
0	67	4	4	0	0	0	4	8	8	29	24	5	0
0	4	0	4	0	0	0	0	0	3	11	44	0	0
0	0	6	5	0	0	6	16	5	22	16	62	0	0
0	27	14	5	8	0	11	12	32	8	7	31	0	0
5	5	6	0	0	0	0	15	26	0	10	34	11	0
6	36	23	9	3	9	5	0	0	0	49	31	6	0
0	23	7	4	0	0	0	7	67	0	0	63	0	4
0	0	7	0	0	0	5	11	19	15	29	63	29	1
5	5	6	0	0	0	0	0	48	25	13	31	0	0
4	5	0	11	0	0	0	11	24	6	4	62	24	5
0	5	4	4	0	4	5	13	14	0	12	69	20	0
0	0	0	0	0	0	0	4	0	0	11	66	12	0
0	0	4	4	4	0	0	12	0	0	20	58	8	5
0	9	2	0	4	0	4	0	24	3	12	27	0	0
4	34	0	0	0	0	0	0	9	4	18	53	28	0
0	16	7	0	0	0	0	0	44	0	12	45	5	0
0	18	5	0	0	0	5	5	0	0	12	54	0	0
5	0	5	0	0	0	0	4	28	27	0	18	17	0
0	8	0	0	0	0	0	0	38	22	11	12	0	0
0	17	0	13	0	0	0	12	16	0	17	10	18	0
0	0	0	0	0	0	0	0	20	0	10	35	7	0
0	0	4	5	4	0	0	0	26	0	10	66	25	0
0	5	5	0	0	0	0	0	7	7	26	28	7	0
0	18	0	0	0	0	0	0	18	0	5	13	6	12
0	8	5	0	0	0	0	4	0	0	5	106	5	3
0	17	5	0	0	0	0	0	9	3	5	32	0	0
0	22	5	0	0	0	0	0	12	8	0	21	0	0
0	11	7	4	0	0	0	10	46	25	5	34	17	0
4	10	0	0	0	0	0	0	7	0	15	40	8	0
0	11	8	0	0	0	0	0	7	16	11	66	0	0
