GM10847	GM12878	GM12891	GM12892	GM15510	GM18505	GM18951	GM19099	A549	HUVEC	IMR90	SGBS	Beas	AC16
0	9	12	0	0	0	0	0	0	4	0	8	0	0
0	4	0	0	0	0	0	0	20	8	8	18	0	0
0	6	0	0	0	0	0	0	5	0	16	22	9	0
0	0	0	0	0	0	0	6	0	0	7	16	0	0
0	0	0	0	0	0	0	0	0	0	13	5	0	0
0	0	0	0	0	4	0	0	0	7	5	11	0	0
0	0	0	7	0	0	0	0	8	0	15	0	6	0
0	0	0	0	6	0	0	0	0	0	0	17	9	0
0	18	4	0	0	0	0	0	0	0	0	14	0	0
0	0	0	5	0	0	0	0	14	12	9	14	0	0
0	0	0	0	0	0	0	0	0	0	3	5	0	0
0	0	4	0	0	0	0	7	15	0	0	38	19	0
0	9	0	0	0	0	0	0	17	0	13	4	0	0
0	0	0	0	0	0	0	0	6	4	0	4	0	0
0	0	0	0	0	0	0	0	0	0	0	16	0	0
0	0	4	0	0	0	0	0	8	4	22	20	0	0
0	0	0	0	0	0	3	0	11	17	11	9	0	0
0	8	5	0	0	0	0	0	0	6	0	22	0	5
0	0	0	0	0	0	0	0	3	0	7	21	0	0
0	6	0	0	0	0	0	0	0	0	7	30	5	0
4	0	5	0	0	0	0	0	0	0	9	10	5	0
0	13	0	0	0	0	0	0	0	0	5	15	24	0
5	4	0	0	0	0	0	0	8	5	0	6	8	0
0	4	0	0	0	0	0	0	0	12	0	21	0	0
0	0	0	0	0	0	0	7	0	0	11	15	0	0
0	9	0	0	0	0	0	0	0	1	0	10	6	0
0	0	0	0	0	5	0	0	0	0	13	23	8	0
0	0	0	4	0	0	0	0	26	7	16	5	9	0
0	5	0	0	0	0	0	0	8	0	0	16	0	0
0	0	0	3	0	0	0	0	37	0	6	9	0	0
0	5	0	0	0	0	3	0	0	0	0	26	0	0
0	0	7	0	0	0	0	0	18	4	5	9	0	0
0	8	6	0	0	0	0	0	0	19	6	26	8	0
0	0	0	0	0	0	4	0	0	6	0	22	0	0
0	7	0	0	0	0	0	0	0	0	0	4	0	0
0	0	0	0	3	0	0	0	0	0	0	0	0	0
0	4	0	0	0	0	0	0	0	0	8	16	0	0
0	20	0	0	0	0	0	0	10	0	0	13	0	0
0	5	0	0	0	0	0	0	0	0	0	9	0	0
0	0	4	0	0	0	0	0	6	0	0	30	14	0
0	0	0	0	0	0	0	0	0	3	0	0	0	4
0	13	4	0	0	0	0	3	0	4	10	21	0	0
0	0	0	0	0	0	0	0	35	43	0	28	8	12
0	1	5	0	0	0	0	0	7	35	0	6	0	0
0	12	0	0	0	0	0	0	10	0	10	11	0	0
0	14	0	0	0	0	0	0	0	0	0	13	7	0
0	0	0	0	0	0	0	0	0	0	12	16	0	0
0	0	0	0	0	0	0	0	5	13	0	8	0	0
0	10	6	0	0	0	0	0	39	7	0	7	0	0
0	0	8	0	0	0	0	0	0	0	0	20	0	0
0	0	0	0	0	0	0	0	0	4	9	11	0	0
0	6	0	0	0	0	0	0	0	0	0	41	0	0
0	0	0	0	0	0	4	0	8	0	7	14	5	0
0	0	0	0	0	0	0	11	6	0	0	7	19	0
0	11	0	0	0	0	0	0	0	0	13	26	0	0
0	0	0	0	0	0	0	0	7	10	0	24	7	0
0	7	0	0	0	0	0	0	15	5	0	13	0	0
0	0	5	0	0	0	0	0	21	0	13	21	0	0
0	0	5	0	0	0	0	0	18	6	27	62	0	0
0	0	6	0	0	0	0	3	10	0	0	23	5	1
0	15	13	0	0	0	0	5	0	0	0	0	11	0
0	23	0	0	0	0	0	0	0	9	5	15	14	0
0	0	0	0	4	0	0	0	0	14	41	29	0	2
0	6	6	0	0	6	4	0	0	11	12	22	7	0
0	15	0	0	0	0	0	5	0	0	15	27	0	0
0	0	0	0	0	0	0	6	0	0	8	20	8	0
0	0	0	0	0	5	8	12	0	4	0	12	0	0
0	4	4	0	0	0	0	0	0	13	9	11	0	0
0	0	0	0	0	0	5	1	29	7	9	18	15	0
0	4	0	0	0	0	0	0	10	3	10	12	7	0
0	0	0	0	0	0	0	6	0	34	6	12	0	0
0	0	0	0	0	0	0	0	0	8	37	30	0	0
3	11	0	10	0	0	0	3	0	15	4	10	0	0
0	6	0	0	0	0	0	3	0	4	0	14	0	0
0	5	0	0	0	0	0	0	0	0	0	12	15	0
0	0	0	0	0	0	0	0	0	0	10	43	0	0
0	6	0	0	0	0	0	0	10	0	8	15	0	5
0	0	0	0	6	0	0	0	14	0	24	4	0	0
0	4	4	0	0	0	0	0	25	3	1	5	0	0
0	0	0	0	0	0	0	4	11	0	0	5	0	0
0	18	0	0	0	0	0	5	0	9	0	29	0	0
0	16	0	0	0	0	0	0	0	0	0	15	9	0
0	0	0	0	0	0	7	0	0	0	8	13	0	0
0	15	0	0	0	0	0	3	0	10	0	55	0	0
0	0	6	0	0	0	5	0	0	5	9	11	0	0
0	0	0	0	0	0	0	0	8	0	5	4	7	0
0	0	0	0	0	4	0	0	13	0	5	7	1	0
0	4	10	6	3	0	4	0	0	0	5	5	18	0
0	4	0	0	0	0	0	0	10	0	0	4	0	0
0	20	4	0	0	0	0	0	0	0	0	5	0	0
0	9	0	0	0	0	0	0	0	0	0	0	0	0
0	0	7	0	0	0	0	0	0	0	10	5	5	0
0	9	0	0	0	4	0	0	9	0	5	0	5	3
0	0	0	0	0	0	0	0	0	0	0	4	0	0
0	0	0	0	0	0	0	0	8	4	6	22	5	0
0	24	0	5	0	0	0	8	9	0	9	41	0	0
0	9	0	0	0	0	4	8	0	0	16	8	6	0
0	0	0	0	0	0	3	0	20	3	5	6	0	0
5	8	0	0	0	0	0	0	0	0	0	0	7	0
6	0	0	0	0	0	0	0	10	5	0	21	0	0
0	0	0	0	0	0	0	0	3	0	5	35	0	0
0	0	8	0	0	0	0	0	0	0	4	13	0	0
0	16	5	0	0	0	0	13	0	0	0	26	0	0
0	5	14	0	3	0	0	0	0	0	0	27	0	0
0	4	2	0	0	0	0	0	0	0	0	23	0	0
0	0	0	0	0	0	0	0	19	0	8	7	0	0
0	4	0	0	0	0	0	0	0	0	0	0	10	0
0	5	0	0	0	0	0	0	7	0	12	18	0	0
0	4	0	0	0	0	0	0	0	0	0	23	0	0
0	0	0	0	0	0	0	0	0	0	0	26	0	5
0	0	0	0	0	0	0	0	15	6	23	23	13	0
0	4	0	0	0	0	0	11	0	0	6	38	7	0
0	5	4	0	0	0	0	17	0	0	20	43	0	0
0	12	0	0	0	0	0	6	0	0	14	8	0	0
0	0	10	0	0	0	0	0	6	0	4	36	7	0
0	5	0	0	0	0	0	0	2	0	0	33	6	0
0	5	0	0	0	0	0	0	0	5	0	23	0	0
0	0	0	0	0	0	0	0	0	0	4	9	9	0
0	10	0	0	0	0	8	2	0	7	0	8	0	4
0	6	12	4	0	0	0	0	0	0	0	16	0	0
0	3	0	6	0	0	0	0	66	7	12	6	0	0
5	0	0	0	0	0	0	6	0	0	7	5	0	0
0	16	8	6	0	0	0	7	9	0	7	13	0	0
0	0	4	0	0	0	0	0	6	0	0	11	0	0
0	6	7	0	0	0	0	0	9	0	13	23	11	0
0	0	0	0	0	0	0	0	7	0	10	32	0	0
0	0	0	0	0	0	3	10	0	0	7	17	0	0
0	2	0	0	0	0	0	6	10	8	21	10	0	5
0	0	5	0	0	0	0	6	7	11	7	8	0	0
0	0	0	0	0	0	0	0	0	4	4	16	0	0
0	24	0	0	3	10	0	10	14	5	31	15	0	0
5	0	0	0	0	0	0	6	0	10	19	29	0	0
0	6	0	0	0	0	3	0	0	21	23	59	0	0
0	7	11	0	0	0	0	0	0	0	4	40	0	0
0	0	0	0	0	0	0	0	0	10	15	35	7	0
0	0	0	0	0	0	0	0	9	2	4	17	13	7
0	5	5	0	5	0	3	0	10	8	4	21	10	0
0	7	6	0	0	0	0	0	8	7	0	4	0	0
0	0	0	0	0	0	0	0	0	0	5	15	6	0
0	0	0	0	0	0	0	0	0	0	7	9	0	0
0	0	6	0	0	0	0	6	0	0	17	37	0	3
0	7	0	0	0	0	3	3	10	0	22	16	0	0
0	6	4	3	0	0	0	0	0	0	0	36	0	0
0	4	0	0	0	0	0	6	0	58	17	37	0	0
0	0	0	0	0	0	0	0	0	40	0	7	0	0
0	0	0	0	0	0	0	0	0	0	6	13	0	0
4	44	0	0	0	0	6	0	0	0	0	18	0	0
0	0	7	0	0	4	0	0	0	0	4	38	0	0
5	10	0	0	0	0	0	0	7	0	0	5	0	0
0	5	3	9	0	6	0	6	0	0	6	17	0	0
0	0	0	0	0	0	0	0	11	0	9	8	0	0
0	8	5	0	0	0	5	7	15	9	8	9	10	0
0	14	4	0	4	0	4	0	0	5	9	53	13	0
0	0	5	0	0	0	0	0	0	0	11	26	8	0
0	4	0	0	0	0	0	0	0	0	6	0	9	0
0	0	0	5	0	0	0	10	1	0	11	16	0	0
4	0	0	0	0	0	4	0	6	0	22	22	0	6
0	0	7	0	8	0	0	0	7	5	16	29	0	0
0	14	0	0	0	4	8	0	0	5	6	5	0	0
0	0	0	0	0	0	0	0	6	3	4	12	5	0
0	0	0	0	0	0	0	0	7	0	0	7	0	0
0	22	7	0	0	0	0	0	0	0	0	11	2	0
0	4	0	0	0	0	0	9	23	17	10	23	12	0
0	0	0	0	0	0	5	0	8	8	19	21	0	0
0	5	0	0	0	0	0	0	18	7	5	0	0	0
0	6	6	0	0	0	0	0	6	7	4	23	0	5
0	0	0	0	0	0	0	0	10	8	1	23	0	0
0	0	0	0	0	0	0	0	0	0	6	18	0	0
0	0	0	0	0	0	0	9	7	0	6	0	0	0
5	14	11	0	0	0	0	6	0	23	14	11	0	0
0	0	5	0	0	5	5	0	13	10	8	19	0	0
0	4	0	0	0	0	0	0	0	0	17	0	0	0
9	0	8	4	0	5	0	3	9	7	4	33	0	0
0	0	5	0	0	0	0	7	30	0	0	4	3	0
0	4	4	4	0	0	0	0	0	0	20	21	6	4
0	6	0	0	0	0	0	5	8	0	0	27	0	0
0	14	0	4	0	0	0	0	0	7	0	16	0	0
0	0	9	0	0	0	0	0	15	33	8	12	7	0
5	25	10	2	0	5	0	0	11	0	4	10	14	0
6	12	0	0	0	0	0	0	0	4	10	4	0	4
0	2	0	0	0	0	0	0	0	0	2	12	0	0
6	7	7	0	1	2	0	0	9	29	7	20	11	0
0	0	0	0	0	0	0	0	0	0	11	10	0	0
0	8	15	0	0	0	0	0	0	8	6	6	0	0
0	20	1	0	5	0	4	5	9	0	9	14	6	0
7	11	5	4	0	3	10	21	8	4	14	2	0	0
0	4	0	0	0	0	0	3	0	7	0	33	0	0
0	0	5	0	0	0	0	0	14	0	0	23	11	0
0	0	0	8	0	0	0	0	36	0	0	34	0	0
6	10	0	0	0	0	0	4	0	18	6	36	33	7
5	4	0	0	0	0	0	0	0	4	10	16	0	6
0	28	0	0	0	0	5	0	6	29	29	58	21	0
0	0	0	0	0	0	0	0	11	0	4	10	0	0
0	4	3	0	0	0	0	0	25	7	0	23	6	0
0	4	15	5	0	0	0	7	0	4	25	15	0	0
0	8	14	0	0	6	0	10	10	6	0	16	0	0
0	0	4	0	0	0	0	0	9	0	0	12	0	7
0	2	1	0	0	0	0	8	0	0	7	31	5	0
0	0	6	0	0	6	0	0	0	0	17	29	0	0
0	7	4	0	0	0	0	0	10	14	0	10	6	4
0	0	9	0	0	0	0	0	9	0	19	28	0	0
0	8	0	0	0	0	0	0	0	15	16	19	0	0
0	7	8	11	0	0	0	0	9	9	0	55	0	0
6	4	0	0	0	0	4	8	29	4	0	12	6	0
0	0	0	0	0	3	0	0	6	2	0	18	0	6
0	7	0	0	0	0	0	6	15	0	14	11	0	0
0	2	0	0	0	0	0	0	8	0	31	11	0	5
0	0	0	0	0	0	0	0	0	3	9	31	0	0
0	4	10	0	0	0	0	0	0	0	3	0	0	0
0	0	0	0	0	0	4	0	14	13	0	39	0	0
5	5	22	0	0	0	0	0	16	6	4	43	0	0
0	0	4	0	4	0	0	0	10	0	7	15	0	0
0	15	0	0	0	7	0	0	35	15	10	30	0	0
0	4	7	0	0	0	0	0	35	0	14	19	11	0
0	6	7	0	0	0	0	8	9	0	17	44	18	0
0	0	7	0	0	0	0	0	30	7	32	16	0	0
0	0	5	0	0	0	3	0	9	0	0	0	0	0
4	13	0	0	0	5	0	0	13	4	8	10	12	0
0	0	0	0	0	0	0	0	0	7	0	21	0	0
0	0	12	0	0	0	0	0	0	10	0	13	0	6
0	0	0	0	0	0	0	0	23	7	0	35	0	0
0	0	0	0	0	0	0	0	12	0	4	21	5	0
0	0	0	0	0	0	7	0	0	4	0	16	0	0
5	0	0	0	0	0	0	0	0	12	0	0	0	0
0	0	0	0	0	0	0	0	0	0	9	15	0	0
0	0	5	4	0	0	0	0	9	0	4	5	0	0
0	5	0	0	0	0	0	0	8	0	0	60	0	0
0	7	4	0	0	0	0	0	27	0	10	6	14	5
0	4	0	0	0	0	0	0	11	0	9	14	9	0
